scale,mean.fny.reports,mean.athena.reports,per.fny.reports,per.athena.reports,fny.cdc.cor,athena.cdc.cor
regional,957.9526316,85098.8,9.915429487,10.07964518,0.755151368,0.970329214
regional,699.7842105,51080.44737,7.251375673,5.882256425,0.655836188,0.907180591
regional,1093.305263,129469.5,11.25914288,15.22407374,0.736347015,0.968254756
regional,1178.436842,195141.5263,11.83161649,22.42197825,0.802867947,0.963198409
regional,1475.726316,183987.6,15.15746358,21.08756038,0.797402041,0.969624467
regional,728.6263158,117413.1,7.40003337,13.44988832,0.774557448,0.941023992
regional,415.4631579,10176.64211,4.295458905,1.233587128,0.692476837,0.740945649
regional,510.1526316,17248.2,5.337427109,1.986637982,0.752251381,0.940599562
regional,1798.357895,53055.67368,18.59704658,6.205551411,0.736177393,0.934134084
regional,819.0947368,18418.99474,8.722983199,2.187830348,0.746698862,0.903066337
state,66.14210526,12257.97368,0.649659478,1.353111451,0.470807172,0.681085772
state,203.8421053,17367.82632,2.100925095,2.085677129,0.634025057,0.891417274
state,181.7157895,28384.11579,1.859501859,3.246843129,0.633795823,0.880114491
state,89.98947368,3182.721053,0.89360298,0.417603996,0.445740037,0.910146677
state,69.95789474,8939.184211,0.681234105,1.076605341,0.507024864,0.920930815
state,278.9684211,16088.76316,2.984175823,1.842486733,0.657021475,0.676143093
state,270.7105263,28086.43684,2.70057042,2.88292305,0.479026785,0.811460745
state,236.5578947,27290.62105,2.371683544,3.193140171,0.671434755,0.846966131
state,196.1526316,30752.66316,1.939125082,3.531571746,0.496464887,0.839811267
state,95.74210526,7909.968421,0.972274158,0.902301754,0.593443991,0.857863994
state,350.9736842,82780.46316,3.682004782,9.864086084,0.681397654,0.930017956
state,352.2473684,5608.057895,3.9071744,0.671362888,0.620749013,0.783404567
state,367.9631579,47877.02105,3.713921975,5.796295308,0.680538786,0.92580815
state,88.44210526,17742.87895,0.874759337,2.091148838,0.232057061,0.415702658
state,111.5526316,24731.66316,1.105459158,2.840275382,0.449832598,0.900245894
state,387.5105263,66225.29474,3.852031008,7.639318621,0.636477937,0.839055448
state,38.01052632,1362.289474,0.377951818,0.160549515,0.397262103,0.716072246
state,390.2368421,12615.00526,4.037576014,1.49772634,0.611670682,0.902239626
state,46.8,19262.84211,0.469797225,2.278029888,0.450564713,0.862200567
